Country,Overall,Talent,Infrastructure,Operating Environment,Research,Development,Government Strategy,Commercial,Scale,Intensity
United States,100,100,100,96,100,100,83,100,100,73
China,54,26,66,70,54,69,66,48,57,33
Singapore,32,30,50,55,25,21,59,27,16,100
United Kingdom,30,32,27,90,23,12,65,25,24,49
France,28,25,31,70,18,31,59,19,23,47
South Korea,27,20,42,64,11,37,69,14,22,46
Germany,27,35,32,83,16,14,59,17,23,39
Canada,26,26,27,75,15,14,70,23,20,49
Israel,26,27,25,47,17,19,35,29,14,74
India,24,42,15,90,10,13,55,14,24,19
Japan,20,15,46,54,8,13,54,13,19,24
Switzerland,20,30,34,50,18,11,18,12,10,63
The Netherlands,20,23,40,67,10,11,43,10,14,43
Saudi Arabia,20,4,23,59,3,7,100,21,18,30
Finland,19,17,33,81,9,13,39,13,12,51
Hong Kong,19,16,36,61,15,11,21,15,11,49
Australia,18,17,22,77,14,16,29,11,14,38
Spain,18,17,26,74,6,10,66,7,15,29
Luxembourg,17,21,35,69,9,7,35,8,9,53
United Arab Emirates,17,6,29,57,11,14,41,13,11,42
Taiwan,16,11,48,42,5,13,47,5,13,28
Denmark,16,17,25,75,7,5,44,9,11,37
Ireland,16,13,26,69,5,14,31,12,10,39
Italy,16,16,23,100,7,2,53,5,13,24
Sweden,16,17,26,88,8,5,23,12,10,39
Norway,16,14,25,84,7,2,41,11,10,37
Belgium,14,16,20,66,6,6,27,9,10,29
Austria,13,15,22,61,9,3,33,6,9,31
Portugal,13,10,22,84,4,8,24,7,9,26
Brazil,12,12,22,67,3,5,36,7,11,16
Russia,12,4,20,67,3,11,41,5,11,15
Estonia,12,9,19,59,4,0,29,13,6,39
Malta,12,6,21,68,3,9,35,6,8,29
Turkey,11,8,16,79,3,4,48,2,10,16
Czech Republic,11,10,19,47,4,3,45,4,8,23
Poland,11,11,23,64,3,4,31,4,9,19
Slovenia,11,8,22,76,5,0,28,5,7,26
Chile,11,5,25,65,1,1,41,6,9,17
Malaysia,10,4,29,68,3,2,24,4,8,16
Iceland,10,8,36,51,4,0,2,8,5,30
Hungary,10,7,23,57,2,3,26,5,8,18
Greece,9,10,20,27,5,3,17,7,6,21
Thailand,9,3,25,48,1,0,45,2,8,12
Croatia,9,6,16,50,2,0,2,16,7,19
Mexico,9,7,18,70,1,3,28,3,8,12
Lithuania,9,6,19,58,2,0,34,3,7,18
Argentina,9,7,18,77,1,3,28,2,8,12
New Zealand,9,10,23,55,4,4,7,4,6,21
Indonesia,9,8,14,55,7,0,19,4,8,11
Romania,8,5,22,66,1,7,18,1,7,12
Colombia,8,5,19,54,0,1,40,1,7,12
Egypt,8,5,16,72,2,0,31,2,7,11
Bulgaria,8,6,18,50,2,0,35,1,7,15
Qatar,8,4,23,36,3,0,38,0,6,16
Ukraine,8,5,17,62,1,1,30,2,7,12
Uruguay,8,5,21,65,0,0,26,2,6,13
Serbia,7,7,17,36,2,0,34,1,6,14
Vietnam,7,6,22,44,1,0,23,2,6,10
Mauritius,7,1,15,36,1,0,24,8,5,13
Iran,7,3,14,32,3,2,30,0,6,9
Peru,7,4,18,64,0,0,21,1,6,9
Bahrain,7,2,19,49,2,0,6,7,5,12
Jordan,7,2,20,36,3,3,21,1,5,11
Oman,6,1,18,36,1,0,36,0,6,10
Armenia,6,8,16,49,0,1,2,6,5,14
Slovakia,6,7,18,58,2,0,0,4,5,13
Philippines,6,1,16,79,0,0,12,1,5,8
Rwanda,6,2,2,68,0,0,29,2,5,9
South Africa,5,2,12,49,1,3,2,6,5,8
Latvia,5,5,19,50,2,0,5,1,4,12
Tunisia,5,4,14,36,2,0,15,2,4,10
Ghana,5,1,11,36,0,0,24,3,4,8
Nigeria,5,1,5,58,1,0,25,1,5,7
Benin,5,0,3,45,0,0,36,1,5,7
Bangladesh,5,2,12,44,1,0,22,0,5,6
Pakistan,5,4,8,44,1,0,19,1,5,6
Iraq,4,1,15,37,1,0,15,1,4,6
Azerbaijan,4,3,16,55,0,0,6,0,4,6
Morocco,4,3,16,49,1,1,3,0,4,7
Algeria,4,2,14,40,1,0,10,0,4,6
Kenya,4,1,5,68,0,0,2,3,3,6
Sri Lanka,4,4,11,45,0,0,3,2,3,7
Ethiopia,2,1,1,36,0,0,2,1,2,2



live

Jump to live
